område;år;måned;vegvesen_tellinger;vegvesen_dekning_snitt_prosent;vegvesen_antall_punkt_med_data;vegvesen_antall_punkt_total;ferde_passeringer;ferde_fritakspasseringer;ferde_betalende;ferde_inntekt_nok;diff_vegvesen_minus_ferde;ratio_vegvesen_div_ferde
Ryfast (sum tunneler, inkl pårampe);2024;1;526783;100.0;6;6;516783;134779;382004;22985756;10000;1.0194
Ryfast (sum tunneler, inkl pårampe);2024;2;515301;100.0;6;6;505701;131355;374346;23714426;9600;1.019
Ryfast (sum tunneler, inkl pårampe);2024;3;551738;100.0;6;6;538824;139096;399728;26670490;12914;1.024
Ryfast (sum tunneler, inkl pårampe);2024;4;597180;100.0;6;6;578752;151256;427496;28110417;18428;1.0318
Ryfast (sum tunneler, inkl pårampe);2024;5;650938;100.0;6;6;625237;160145;465092;31982901;25701;1.0411
Ryfast (sum tunneler, inkl pårampe);2024;6;653670;100.0;6;6;630875;160082;470793;32707209;22795;1.0361
Ryfast (sum tunneler, inkl pårampe);2024;7;610917;100.0;6;6;588022;144219;443803;33853255;22895;1.0389
Ryfast (sum tunneler, inkl pårampe);2024;8;678125;100.0;6;6;656344;163698;492646;35392992;21781;1.0332
Ryfast (sum tunneler, inkl pårampe);2024;9;640380;100.0;6;6;611593;154718;456875;30878242;28787;1.0471
Ryfast (sum tunneler, inkl pårampe);2024;10;616435;100.0;6;6;595138;155885;439253;28910885;21297;1.0358
Ryfast (sum tunneler, inkl pårampe);2024;11;571740;100.0;6;6;557148;145743;411405;26217436;14592;1.0262
Ryfast (sum tunneler, inkl pårampe);2024;12;548917;100.0;6;6;536472;143044;393428;25247191;12445;1.0232
Ryfast (sum tunneler, inkl pårampe);2025;1;548669;100.0;6;6;534667;139483;395184;24603757;14002;1.0262
Ryfast (sum tunneler, inkl pårampe);2025;2;521920;100.0;6;6;507096;131949;375147;23736030;14824;1.0292
Ryfast (sum tunneler, inkl pårampe);2025;3;611599;100.0;6;6;590480;155131;435349;28252987;21119;1.0358
Ryfast (sum tunneler, inkl pårampe);2025;4;609480;100.0;6;6;585018;146517;438501;29986655;24462;1.0418
Ryfast (sum tunneler, inkl pårampe);2025;5;652891;100.0;6;6;623305;160221;463084;31737684;29586;1.0475
Ryfast (sum tunneler, inkl pårampe);2025;6;661650;100.0;6;6;632503;158624;473879;34283334;29147;1.0461
Ryfast (sum tunneler, inkl pårampe);2025;7;633299;88.1;6;6;607789;144999;462790;24573030;25510;1.042
Ryfast (sum tunneler, inkl pårampe);2025;8;469743;100.0;4;6;676896;162730;514166;25505900;-207153;0.694
Ryfast (sum tunneler, inkl pårampe);2025;9;660660;97.8;6;6;635977;160140;475837;22180987;24683;1.0388
Ryfast (sum tunneler, inkl pårampe);2025;10;656735;97.3;6;6;633857;160433;473424;21754544;22878;1.0361
Ryfast (sum tunneler, inkl pårampe);2025;11;607590;100.0;6;6;588324;147965;440359;19637534;19266;1.0327
Ryfast (sum tunneler, inkl pårampe);2025;12;599261;100.0;6;6;581508;149083;432425;19206731;17753;1.0305
